Id. del pedido;Fecha del pedido;Fecha de envío;Forma de envío;Id. del cliente;Nombre del cliente;Segmento;Ciudad;Estado;País;Región;Id. del producto;Categoría;Subcategoría;Nombre del producto;Total;Cantidad;Descuento;Ganancia
MX-2019-111899;2/4/2019;6/4/2019;Estándar;AM-11365;Araceli Manzanares;Empresa;Cruzeiro do Sul;Acre;Brasil;Sur;MAT-AR-10004857;Material de oficina;Arte;Boston Rotuladores, Tamaños variados;591;3;0;206.4
MX-2019-113922;8/10/2019;11/10/2019;Rápido;BS-12130;Benjamín Saavedra;Cliente;Rio Branco;Acre;Brasil;Sur;MOB-LI-10000647;Mobiliario;Librerías;Dania Conjunto de estantes, Metal;2250.8;2;0;922.8
MX-2019-113922;8/10/2019;11/10/2019;Rápido;BS-12130;Benjamín Saavedra;Cliente;Rio Branco;Acre;Brasil;Sur;MAT-CA-10002956;Material de oficina;Carpetas;Avery Anillas, Transparente;129;5;0;11
MX-2017-163888;14/6/2017;18/6/2017;Estándar;AT-10090;Alejandro Trejo;Cliente;Rio Branco;Acre;Brasil;Sur;MOB-MO-10002100;Mobiliario;Mobiliario;Tenex Bandeja apiladora, Negro;504.6;3;0;95.4
MX-2017-163888;14/6/2017;18/6/2017;Estándar;AT-10090;Alejandro Trejo;Cliente;Rio Branco;Acre;Brasil;Sur;MOB-LI-10002747;Mobiliario;Librerías;Safco Vitrina, Convencional;3376.8;3;0;641.4
MX-2016-109029;20/7/2016;22/7/2016;Urgente;AJ-10840;Amador Jasón;Cliente;Cruzeiro do Sul;Acre;Brasil;Sur;MAT-CA-10003527;Material de oficina;Carpetas;Avery Cubierta de carpeta, Duradero;167.6;2;0;62
MX-2019-103002;16/5/2019;18/5/2019;Urgente;LG-17920;Leonor Gómez;Cliente;Penedo;Alagoas;Brasil;Sur;MAT-AL-10002433;Material de oficina;Almacenamiento;Fellowes Archivador móvil, Industrial;1837.2;2;0;753.2
MX-2018-133459;5/9/2018;9/9/2018;Estándar;CV-12475;Cristina Vergara;Cliente;Maceió;Alagoas;Brasil;Sur;MAT-SO-10003712;Material de oficina;Sobres;Cameo Sobre de tipo Manila, 50;540;3;0;37.8
MX-2016-141726;11/11/2016;16/11/2016;Rápido;EC-14410;Eusebio Cano;Pequeña empresa;Maceió;Alagoas;Brasil;Sur;MOB-SI-10000143;Mobiliario;Sillas;Harbour Creations Silla plegable, Negro;3182;5;0;159
MX-2018-130911;5/10/2018;7/10/2018;Rápido;HS-15655;Héctor Salcido;Empresa;Arapiraca;Alagoas;Brasil;Sur;MOB-SI-10004179;Mobiliario;Sillas;Office Star Silla de playa, Negro;706.8;2;0;42.4
MX-2018-166443;21/8/2018;25/8/2018;Estándar;WV-21820;Wendi Valdés;Cliente;Maceió;Alagoas;Brasil;Sur;MAT-PA-10000990;Material de oficina;Papel;Green Bar Cuaderno, Multicolor;1248;6;0;261.6
MX-2018-166443;21/8/2018;25/8/2018;Estándar;WV-21820;Wendi Valdés;Cliente;Maceió;Alagoas;Brasil;Sur;TEC-MÁ-10004980;Tecnología;Máquinas;Panasonic Impresora, Rojo;7030.4;4;0;3515.2
MX-2018-166443;21/8/2018;25/8/2018;Estándar;WV-21820;Wendi Valdés;Cliente;Maceió;Alagoas;Brasil;Sur;MOB-SI-10004179;Mobiliario;Sillas;Office Star Silla de playa, Negro;1060.2;3;0;63.6
MX-2017-113201;14/9/2017;18/9/2017;Estándar;IC-16405;Iris Casares;Pequeña empresa;Arapiraca;Alagoas;Brasil;Sur;MAT-SU-10003821;Material de oficina;Suministros;Acme Regla, Azul;334.2;3;0;39.6
MX-2017-113201;14/9/2017;18/9/2017;Estándar;IC-16405;Iris Casares;Pequeña empresa;Arapiraca;Alagoas;Brasil;Sur;MAT-CA-10000917;Material de oficina;Carpetas;Avery Separadores, Económico;126.6;3;0;7.2
MX-2017-113201;14/9/2017;18/9/2017;Estándar;IC-16405;Iris Casares;Pequeña empresa;Arapiraca;Alagoas;Brasil;Sur;MAT-AL-10003968;Material de oficina;Almacenamiento;Rogers Bandejas, Tamaño completo;822.8;2;0;164.4
MX-2017-117870;4/10/2017;9/10/2017;Estándar;TA-21175;Teodora Atencio;Empresa;Penedo;Alagoas;Brasil;Sur;MAT-CA-10002885;Material de oficina;Carpetas;Cardinal Cubierta de carpeta, Económico;160;2;0;25.6
MX-2019-148684;19/12/2019;25/12/2019;Estándar;AR-10525;Amalia Ríos;Empresa;Maceió;Alagoas;Brasil;Sur;MAT-AL-10004135;Material de oficina;Almacenamiento;Tenex Archivador móvil, Tamaño completo;2683.2;3;0;885
MX-2019-148684;19/12/2019;25/12/2019;Estándar;AR-10525;Amalia Ríos;Empresa;Maceió;Alagoas;Brasil;Sur;MAT-SO-10001206;Material de oficina;Sobres;Cameo Sobre empresarial, Reciclado;105;1;0;50.4
MX-2019-113586;18/11/2019;18/11/2019;Mismo día;FF-14890;Fidel Ferrer;Empresa;Maceió;Alagoas;Brasil;Sur;MAT-SO-10000209;Material de oficina;Sobres;GlobeWeis Paquetes, 50;514;2;0;133.6
MX-2019-113586;18/11/2019;18/11/2019;Mismo día;FF-14890;Fidel Ferrer;Empresa;Maceió;Alagoas;Brasil;Sur;MOB-LI-10000384;Mobiliario;Librerías;Dania Librería clásica, Blanco;5510.4;2;0;991.6
MX-2019-113586;18/11/2019;18/11/2019;Mismo día;FF-14890;Fidel Ferrer;Empresa;Maceió;Alagoas;Brasil;Sur;MOB-MO-10000586;Mobiliario;Mobiliario;Eldon Tope para puertas, Negro;2006.4;6;0;621.6
MX-2019-113586;18/11/2019;18/11/2019;Mismo día;FF-14890;Fidel Ferrer;Empresa;Maceió;Alagoas;Brasil;Sur;MOB-ME-10001571;Mobiliario;Mesas;Bevis Mesa de formación, Montada;3588.8;2;0.2;493.2
MX-2019-113586;18/11/2019;18/11/2019;Mismo día;FF-14890;Fidel Ferrer;Empresa;Maceió;Alagoas;Brasil;Sur;TEC-TE-10002678;Tecnología;Teléfonos;Apple Base de audio, Tamaño completo;4484.8;4;0;492.8
MX-2018-164938;18/4/2018;23/4/2018;Rápido;NM-19390;Nidia Mena;Cliente;Maceió;Alagoas;Brasil;Sur;MAT-AR-10000761;Material de oficina;Arte;Boston Bolígrafos, Metal;412.8;4;0;156.8
MX-2018-164938;18/4/2018;23/4/2018;Rápido;NM-19390;Nidia Mena;Cliente;Maceió;Alagoas;Brasil;Sur;MAT-PA-10001204;Material de oficina;Papel;Green Bar Agenda, Multicolor;504;3;0;55.2
MX-2018-164938;18/4/2018;23/4/2018;Rápido;NM-19390;Nidia Mena;Cliente;Maceió;Alagoas;Brasil;Sur;MAT-SU-10003322;Material de oficina;Suministros;Elite Tijeras, Rectangular;512.8;4;0;164
MX-2018-160444;7/11/2018;12/11/2018;Estándar;VC-21490;Valeria Caldera;Cliente;Maceió;Alagoas;Brasil;Sur;MAT-SO-10002955;Material de oficina;Sobres;Kraft Cierre adhesivo, Rojo;320.4;2;0;108.8
US-2019-154564;4/7/2019;7/7/2019;Rápido;RC-20440;Reinaldo Córdova;Empresa;Pilar;Alagoas;Brasil;Sur;MOB-ME-10003347;Mobiliario;Mesas;Chromcraft Mesa de café, Rectangular;2117.28;3;0.6;-529.32
US-2019-154564;4/7/2019;7/7/2019;Rápido;RC-20440;Reinaldo Córdova;Empresa;Pilar;Alagoas;Brasil;Sur;MOB-LI-10000283;Mobiliario;Librerías;Ikea Librería, Blanco;1334.4;4;0.6;-934.4
US-2019-154564;4/7/2019;7/7/2019;Rápido;RC-20440;Reinaldo Córdova;Empresa;Pilar;Alagoas;Brasil;Sur;MAT-GR-10001628;Material de oficina;Grapas;Advantus Cintas de goma, Paquete de 12;170.88;4;0.6;-252.32
US-2019-101623;9/12/2019;11/12/2019;Rápido;AV-10825;Amelia Vega;Empresa;São Miguel dos Campos;Alagoas;Brasil;Sur;MAT-SU-10000055;Material de oficina;Suministros;Fiskars Recortadora, Rectangular;312;3;0.6;-226.2
US-2016-149041;1/6/2016;6/6/2016;Estándar;NP-19210;Natalia Paredes;Empresa;Pilar;Alagoas;Brasil;Sur;MAT-PA-10004251;Material de oficina;Papel;Eaton Papel de tipo pergamino, Premium;71.84;2;0.6;-50.56
US-2016-149041;1/6/2016;6/6/2016;Estándar;NP-19210;Natalia Paredes;Empresa;Pilar;Alagoas;Brasil;Sur;TEC-CO-10000319;Tecnología;Copiadoras;Hewlett Fotocopiadora con fax, Rojo;2534.862;5;0.602;-1160.138
US-2018-139297;5/12/2018;10/12/2018;Estándar;BF-12040;Bibiana Ferro;Pequeña empresa;Pilar;Alagoas;Brasil;Sur;MAT-GR-10000238;Material de oficina;Grapas;Stockwell Pasadores, Tamaños variados;157.6;5;0.6;-185.4
US-2019-162999;25/2/2019;2/3/2019;Estándar;TC-21085;Tina Cardona;Cliente;São Miguel dos Campos;Alagoas;Brasil;Sur;MAT-GR-10004152;Material de oficina;Grapas;Stockwell Grapas, Al por mayor;138.8;5;0.6;-125.2
US-2016-136007;4/1/2016;11/1/2016;Estándar;AH-11305;Ariadna Hernández;Pequeña empresa;Pilar;Alagoas;Brasil;Sur;MAT-SO-10002386;Material de oficina;Sobres;Jiffy Sobres de uso interno, 50;743.04;6;0.6;-1078.56
US-2018-165939;20/10/2018;24/10/2018;Estándar;AR-11335;Adriana Rocha;Pequeña empresa;Pilar;Alagoas;Brasil;Sur;MOB-SI-10002611;Mobiliario;Sillas;Harbour Creations Silla plegable, Rojo;783.12;3;0.6;-1076.88
US-2018-165939;20/10/2018;24/10/2018;Estándar;AR-11335;Adriana Rocha;Pequeña empresa;Pilar;Alagoas;Brasil;Sur;MAT-CA-10004233;Material de oficina;Carpetas;Avery Separadores, Transparente;77.2;5;0.6;-44.8
US-2018-165939;20/10/2018;24/10/2018;Estándar;AR-11335;Adriana Rocha;Pequeña empresa;Pilar;Alagoas;Brasil;Sur;MOB-SI-10000569;Mobiliario;Sillas;Office Star Silla de playa, Ajustable;772.4;5;0.6;-367.6
US-2019-126515;18/12/2019;20/12/2019;Rápido;FV-14740;Felipe Vélez;Empresa;Pilar;Alagoas;Brasil;Sur;MAT-AR-10000946;Material de oficina;Arte;Sanford Lienzos, Azul;673.6;5;0.6;-977.4
US-2019-126515;18/12/2019;20/12/2019;Rápido;FV-14740;Felipe Vélez;Empresa;Pilar;Alagoas;Brasil;Sur;MAT-SO-10002557;Material de oficina;Sobres;Cameo Paquetes, 50;610.56;6;0.6;-565.44
US-2017-129546;12/7/2017;12/7/2017;Mismo día;VC-21535;Victoria Chavarría;Pequeña empresa;São Miguel dos Campos;Alagoas;Brasil;Sur;MAT-AL-10001876;Material de oficina;Almacenamiento;Tenex Bandejas, Industrial;1020.88;7;0.6;-537.32
US-2017-129546;12/7/2017;12/7/2017;Mismo día;VC-21535;Victoria Chavarría;Pequeña empresa;São Miguel dos Campos;Alagoas;Brasil;Sur;MAT-AR-10003061;Material de oficina;Arte;Binney & Smith Lienzos, Metal;841.92;6;0.6;-505.68
US-2018-150574;25/6/2018;27/6/2018;Rápido;TA-21175;Teodora Atencio;Empresa;São Miguel dos Campos;Alagoas;Brasil;Sur;MOB-LI-10002241;Mobiliario;Librerías;Safco Librería, Metal;1979.2;5;0.6;-1830.8
US-2018-150574;25/6/2018;27/6/2018;Rápido;TA-21175;Teodora Atencio;Empresa;São Miguel dos Campos;Alagoas;Brasil;Sur;MAT-EL-10002343;Material de oficina;Electrodomésticos;Cuisinart Microondas, Negro;4446.24;6;0.6;-4668.96
